date,company,open_price,high_price,low_price,close_price,volume,market_sentiment
2015-01-01,Tesla,1305.33,75.86,966.61,1457.35,25927814,Bearish
2015-01-02,Google,391.8,686.82,593.58,883.22,22040434,Neutral
2015-01-03,Netflix,985.74,1275.5,1253.3,1131.63,36551427,Bullish
2015-01-04,Amazon,514.78,299.75,441.69,222.58,43823086,Bullish
2015-01-05,Amazon,779.04,657.66,1301.97,1453.85,38410461,Neutral
2015-01-06,Tesla,408.37,1098.67,1081.54,698.39,3531470,Neutral
2015-01-07,Google,89.33,789.22,809.52,1241.98,46672942,Bullish
2015-01-08,Netflix,1181.58,1163.05,584.34,772.96,22938603,Bullish
2015-01-09,Apple,389.01,380.75,807.22,527.33,5393741,Bullish
2015-01-10,Google,1416.04,1327.15,164.33,583.08,22104474,Neutral
2015-01-11,Netflix,759.51,605.13,581.44,1372.33,35836196,Bullish
2015-01-12,Microsoft,1092.63,528.69,479.34,384.28,36684123,Bearish
2015-01-13,Microsoft,1281.56,655.59,1240.05,859.22,42480136,Neutral
2015-01-14,Apple,822.3,691.8,610.07,1119.36,45202349,Bearish
2015-01-15,Netflix,576.38,1426.74,944.23,388.18,12916738,Bullish
2015-01-16,Tesla,1116.31,1525.22,441.79,759.94,23238085,Neutral
2015-01-17,Apple,473.88,497.42,1421.28,759.63,15911492,Bullish
2015-01-18,Tesla,516.95,376.8,815.53,335.22,17735460,Neutral
2015-01-19,Apple,204.96,344.4,1278.3,419.6,27154132,Neutral
2015-01-20,Amazon,1372.24,1004.11,1061.16,995.23,36111152,Bullish
2015-01-21,Microsoft,53.41,1485.64,75.81,1049.41,43542035,Bullish
2015-01-22,Netflix,1124.07,88.7,843.74,965.82,42422291,Bullish
2015-01-23,Amazon,347.79,433.18,121.05,1170.53,5455226,Bullish
2015-01-24,Tesla,1490.08,1379.62,1441.04,691.24,5586190,Bearish
2015-01-25,Tesla,1006.7,1130.91,149.71,178.16,10628897,Neutral
2015-01-26,Meta,668.42,407.05,1235.22,479.32,32674481,Bullish
2015-01-27,Apple,1191.12,1196.34,1147.93,904.58,49746297,Bearish
2015-01-28,Apple,468.61,341.65,121.73,631.81,30927718,Bullish
2015-01-29,Meta,1154.06,1422.61,246.64,949.09,33612996,Bullish
2015-01-30,Apple,1460.23,84.28,1400.45,1119.24,3439440,Neutral
2015-01-31,Amazon,1064.43,838.63,900.94,1478.93,40446060,Neutral
2015-02-01,Meta,1004.68,1502.85,219.12,408.81,4382759,Bullish
2015-02-02,Apple,542.59,1369.82,254.42,1093.18,11664698,Bullish
2015-02-03,Microsoft,1151.3,1390.14,91.27,173.63,19368994,Neutral
2015-02-04,Apple,770.83,251.89,1200.04,396.02,33575136,Bearish
2015-02-05,Google,645.7,1399.64,970.12,663.42,28372491,Neutral
2015-02-06,Netflix,970.24,649.67,914.82,109.66,39502146,Bearish
2015-02-07,Netflix,662.17,737.64,134.57,851.91,14909494,Bullish
2015-02-08,Tesla,1054.98,1040.66,171.39,703.95,43005275,Neutral
2015-02-09,Netflix,290.46,1302.58,475.82,1250.36,43755815,Neutral
2015-02-10,Google,291.99,1310.29,890.86,744.43,15485553,Neutral
2015-02-11,Amazon,1477.96,1172.99,880.64,735.23,47253783,Neutral
